rank,hcp_name,institution,country,proposed_npi,matched_nppes_name,state,city,taxonomy,nppes_candidate_count,review_flag,decision
2042,Lucia Seminario‐Vidal,Eli Lilly (United States),US,1588912869,LUCIA SEMINARIO VIDAL,FL,TAMPA,Dermatology,1,REVIEW (industry),written
2073,Naiem Issa,University of Miami,US,1386170769,NAIEM ISSA,VA,VIENNA,Dermatology,1,,written
2095,Thy Huynh,Northwestern University,US,1043745243,THY HUYNH,MS,JACKSON,Dermatology,5,,written
2134,Rodrigo Valdés‐Rodríguez,Temple University,US,1518311778,RODRIGO VALDES-RODRIGUEZ,TX,SAN ANTONIO,Dermatology,1,,written
2144,Kelly Stone,National Institutes of Health,US,1417957879,KELLY STONE,DC,WASHINGTON,"Pediatrics, Pediatric Allergy/Immunology",20,REVIEW (common name),dropped
2151,James Taylor,Cleveland Clinic,US,1154387892,JAMES TAYLOR,OH,CLEVELAND,Dermatology,14,REVIEW (common name),written
2159,Mary‐Margaret Chren,Vanderbilt University Medical Center,US,1265462956,MARY-MARGARET CHREN,TN,NASHVILLE,Dermatology,1,,written
2206,Calvin Sung,"University of California, Riverside",US,1518426766,CALVIN SUNG,CA,MONTEREY PARK,Dermatology,2,,written
2310,Jill Waibel,Miami Dermatology and Laser Institute,,1154347847,JILL WAIBEL,FL,MIAMI,Dermatology,1,,written
2319,Emily Cole,Emory University,US,1194105981,EMILY COLE,MO,SAINT LOUIS,Dermatology,20,REVIEW (common name),dropped
2339,Supriya Immaneni,Northwestern University,US,1497129399,SUPRIYA IMMANENI,GA,MACON,"Dermatology, MOHS-Micrographic Surgery",1,,written
2346,Clifton Hall,National Jewish Health,US,1780904300,CLIFTON HALL,NV,LAS VEGAS,Dermatology,6,,written
2383,Jennifer Chen,Stanford University,US,1184851297,JENNIFER CHEN,CA,STANFORD,Dermatology,20,REVIEW (common name),written
2384,Wayne Shreffler,Massachusetts General Hospital,US,1174592448,WAYNE SHREFFLER,NY,NEW YORK,"Pediatrics, Pediatric Allergy/Immunology",1,,written
2422,Adnan Ahmed,Northwestern University,US,1245817378,ADNAN AHMED,MD,HUNT VALLEY,Dermatology,2,,written
2534,Margit Juhász,"University of California, Irvine",US,1225488208,MARGIT JUHASZ,WA,BURIEN,"Dermatology, MOHS-Micrographic Surgery",1,,written
